id,artist,top_genre,year,bpm_tempo,energy,danceability,decibel,live,length,acoustic,speechiness,popular,positive
169,Macklemore & Ryan Lewis,dance pop,2013,0,0,1,0,5,1,6,1,69,positive
170,OneRepublic,dance pop,2013,1,1,0,0,14,0,26,0,69,negative
171,Ariana Grande,dance pop,2013,0,1,0,1,8,1,29,1,68,positive
172,Justin Timberlake,dance pop,2013,0,0,1,1,16,1,10,1,68,negative
173,will.i.am,dance pop,2013,1,0,1,0,7,1,0,1,68,negative
174,Icona Pop,candy pop,2013,1,1,1,1,15,0,1,0,67,positive
175,David Guetta,dance pop,2013,1,1,1,1,66,0,4,0,67,positive
176,Maroon 5,pop,2013,1,0,1,1,26,1,0,0,66,negative
177,Maroon 5,pop,2013,1,1,1,0,12,1,13,0,65,negative
178,Fergie,dance pop,2013,1,0,1,0,9,1,1,1,65,positive
179,Little Mix,dance pop,2013,1,1,1,1,55,1,0,1,63,positive
180,The Wanted,boy band,2013,1,1,0,1,10,0,1,1,62,negative
181,Avril Lavigne,canadian pop,2013,1,1,0,1,34,0,1,1,61,positive
182,Justin Bieber,canadian pop,2013,0,0,0,0,34,1,14,1,61,positive
183,Justin Timberlake,dance pop,2013,0,0,0,0,43,1,14,1,60,positive
184,Emeli Sandé,dance pop,2013,0,1,1,1,11,0,9,0,60,negative
185,Demi Lovato,dance pop,2013,0,1,0,1,32,0,0,0,60,positive
186,Emeli Sandé,dance pop,2013,1,0,0,0,11,1,92,0,60,negative
187,Alicia Keys,hip pop,2013,0,1,0,0,15,1,9,1,59,negative
188,Justin Timberlake,dance pop,2013,1,0,0,0,43,1,1,1,58,negative
189,Selena Gomez,dance pop,2013,0,1,0,1,10,1,1,1,57,positive
190,Jennifer Lopez,dance pop,2013,1,0,1,1,33,1,1,1,57,positive
191,The Wanted,boy band,2013,0,1,0,1,23,0,1,1,56,positive
192,Coldplay,permanent wave,2013,1,0,0,0,11,1,63,0,55,negative
193,Austin Mahone,dance pop,2013,0,1,0,0,4,0,0,0,54,negative
194,Justin Timberlake,dance pop,2013,0,0,0,1,64,1,4,1,54,negative
195,Lady Gaga,dance pop,2013,1,1,1,1,11,0,3,1,52,positive
196,Ellie Goulding,dance pop,2013,0,1,1,1,14,1,43,0,52,negative
197,Enrique Iglesias,dance pop,2013,1,1,0,1,35,1,1,1,52,positive
198,Jonas Brothers,boy band,2013,1,1,1,1,28,0,7,1,52,positive
199,Mariah Carey,dance pop,2013,0,1,1,1,31,0,29,0,51,negative
200,Little Mix,dance pop,2013,1,1,0,1,37,0,9,1,50,negative
201,Kesha,dance pop,2013,1,1,1,1,13,1,4,0,46,negative
202,Britney Spears,dance pop,2013,1,0,1,1,11,1,2,1,45,positive
203,Kelly Clarkson,dance pop,2013,1,1,0,1,36,1,4,0,45,positive
204,Ciara,dance pop,2013,0,0,1,0,6,1,1,0,43,positive
205,Rihanna,barbadian pop,2013,1,1,0,0,24,0,0,0,42,negative
206,Robin Thicke,dance pop,2013,1,1,1,1,16,1,10,1,41,positive
207,Jewel,alaska indie,2013,1,0,0,0,12,1,23,0,36,negative
208,Pitbull,dance pop,2013,0,1,1,1,21,0,16,0,35,positive
209,Kelly Rowland,atl hip hop,2013,0,1,0,1,12,1,13,1,28,negative
210,John Legend,neo mellow,2014,1,0,0,0,13,1,92,0,86,negative
211,Sam Smith,pop,2014,0,0,0,0,11,0,59,0,85,negative
212,Calvin Harris,dance pop,2014,1,1,0,1,14,1,2,0,80,positive
213,Pharrell Williams,dance pop,2014,1,1,0,1,9,1,22,1,79,positive
214,MAGIC!,pop,2014,1,1,1,1,31,1,4,0,79,positive
215,Taylor Swift,pop,2014,1,1,0,1,33,0,6,1,78,positive
216,Katy Perry,dance pop,2014,1,0,0,0,17,0,0,1,78,negative
217,Avicii,big room,2014,1,1,0,1,8,1,3,0,78,negative
218,Maroon 5,pop,2014,1,0,1,0,6,0,2,0,78,positive
219,Bruno Mars,pop,2014,0,0,1,1,32,0,4,0,77,positive
220,Passenger,folk-pop,2014,0,0,0,0,10,1,39,1,77,negative
221,Ariana Grande,dance pop,2014,0,1,1,1,16,0,2,1,75,positive
222,Bastille,metropopolis,2014,1,0,1,0,27,0,8,0,73,positive
223,Lorde,art pop,2014,0,0,1,0,31,0,17,1,73,negative
224,John Newman,pop,2014,1,1,0,1,10,1,0,0,73,negative
225,Disclosure,house,2014,1,0,0,1,9,1,2,1,72,positive
226,Miley Cyrus,dance pop,2014,1,0,0,1,11,1,11,0,72,negative
227,Michael Jackson,pop,2014,0,0,1,0,7,1,13,0,71,positive
228,Ellie Goulding,dance pop,2014,0,1,0,1,11,1,31,0,71,negative
229,5 Seconds of Summer,boy band,2014,1,1,0,1,33,0,0,1,71,negative
230,Iggy Azalea,australian hip hop,2014,0,0,1,1,5,0,9,1,70,negative
231,Jason Derulo,dance pop,2014,0,0,1,0,31,0,3,1,68,positive
232,Bruno Mars,pop,2014,1,0,1,0,10,1,45,0,68,positive
233,Christina Perri,dance pop,2014,1,0,0,0,11,1,13,0,68,negative
234,Bruno Mars,pop,2014,1,1,0,1,21,1,46,0,67,negative
235,Jason Derulo,dance pop,2014,0,0,1,0,16,0,8,1,67,positive
236,OneRepublic,dance pop,2014,1,1,1,1,8,1,17,1,66,positive
237,Katy Perry,dance pop,2014,0,0,1,0,15,0,2,1,66,positive
238,Austin Mahone,dance pop,2014,1,1,1,1,27,1,0,0,65,positive
239,Fergie,dance pop,2014,1,0,1,0,9,1,1,1,65,positive
240,The Chainsmokers,electropop,2014,1,1,1,1,8,0,1,1,65,positive
241,Beyoncé,dance pop,2014,1,0,0,0,31,1,3,1,65,negative
242,Katy Perry,dance pop,2014,1,0,1,1,11,0,9,1,65,positive
243,Lady Gaga,dance pop,2014,0,1,0,1,12,1,1,0,65,positive
244,Zedd,complextro,2014,1,1,0,1,9,0,11,0,64,negative
245,Demi Lovato,dance pop,2014,1,0,0,0,27,1,3,0,63,negative
246,Birdy,neo mellow,2014,0,0,0,1,16,1,8,0,62,negative
247,Shakira,colombian pop,2014,1,1,1,1,14,0,12,1,62,positive
248,David Guetta,dance pop,2014,1,1,0,1,12,0,6,1,61,negative
249,A Great Big World,neo mellow,2014,1,0,0,0,9,1,87,0,61,negative
250,Coldplay,permanent wave,2014,1,0,0,0,21,1,1,0,60,negative
251,Pharrell Williams,dance pop,2014,1,1,1,0,10,0,27,1,59,positive
252,Sia,australian dance,2014,1,1,0,1,7,0,2,1,56,positive
253,Beyoncé,dance pop,2014,1,1,0,0,31,0,17,1,56,negative
254,Pitbull,dance pop,2014,1,1,0,1,10,1,0,1,56,positive
255,Birdy,neo mellow,2014,0,0,0,0,9,0,97,0,56,negative
256,Beyoncé,dance pop,2014,1,0,0,0,18,1,1,1,52,negative
257,Nicki Minaj,dance pop,2014,1,0,1,0,21,1,7,1,50,positive
258,Charli XCX,candy pop,2014,0,1,1,1,34,0,7,1,50,positive
259,Shakira,colombian pop,2014,1,1,1,1,35,0,18,0,50,positive
260,Birdy,neo mellow,2014,0,0,1,0,9,0,84,0,49,positive
261,Birdy,neo mellow,2014,1,0,0,0,14,1,28,0,44,negative
262,Mariah Carey,dance pop,2014,1,0,0,0,38,1,28,1,38,positive
263,Lily Allen,dance pop,2014,1,0,1,0,11,1,15,0,37,negative
264,Lea Michele,hollywood,2014,0,1,0,1,19,0,2,1,37,positive
265,Alicia Keys,hip pop,2014,0,0,0,0,25,1,10,1,30,positive
266,Jennifer Lopez,dance pop,2014,0,0,1,0,12,0,45,1,28,positive
267,Justin Timberlake,dance pop,2014,0,0,0,0,38,1,27,1,0,negative
