artist,top_genre,year,bpm_tempo,energy,danceability,decibel,live,length,acoustic,speechiness,popular,positive
Labrinth,pop,2013,0,0,0,0,10,1,23,0,70,negative
Ne-Yo,dance pop,2013,1,0,1,0,37,1,25,0,70,negative
Macklemore & Ryan Lewis,dance pop,2013,0,0,1,0,5,1,6,1,69,positive
OneRepublic,dance pop,2013,1,1,0,0,14,0,26,0,69,negative
Ariana Grande,dance pop,2013,0,1,0,1,8,1,29,1,68,positive
Justin Timberlake,dance pop,2013,0,0,1,1,16,1,10,1,68,negative
will.i.am,dance pop,2013,1,0,1,0,7,1,0,1,68,negative
Icona Pop,candy pop,2013,1,1,1,1,15,0,1,0,67,positive
David Guetta,dance pop,2013,1,1,1,1,66,0,4,0,67,positive
Maroon 5,pop,2013,1,0,1,1,26,1,0,0,66,negative
Maroon 5,pop,2013,1,1,1,0,12,1,13,0,65,negative
Fergie,dance pop,2013,1,0,1,0,9,1,1,1,65,positive
Little Mix,dance pop,2013,1,1,1,1,55,1,0,1,63,positive
The Wanted,boy band,2013,1,1,0,1,10,0,1,1,62,negative
Avril Lavigne,canadian pop,2013,1,1,0,1,34,0,1,1,61,positive
Justin Bieber,canadian pop,2013,0,0,0,0,34,1,14,1,61,positive
Justin Timberlake,dance pop,2013,0,0,0,0,43,1,14,1,60,positive
Emeli Sandé,dance pop,2013,0,1,1,1,11,0,9,0,60,negative
Demi Lovato,dance pop,2013,0,1,0,1,32,0,0,0,60,positive
Emeli Sandé,dance pop,2013,1,0,0,0,11,1,92,0,60,negative
Alicia Keys,hip pop,2013,0,1,0,0,15,1,9,1,59,negative
Justin Timberlake,dance pop,2013,1,0,0,0,43,1,1,1,58,negative
Selena Gomez,dance pop,2013,0,1,0,1,10,1,1,1,57,positive
Jennifer Lopez,dance pop,2013,1,0,1,1,33,1,1,1,57,positive
The Wanted,boy band,2013,0,1,0,1,23,0,1,1,56,positive
Coldplay,permanent wave,2013,1,0,0,0,11,1,63,0,55,negative
Austin Mahone,dance pop,2013,0,1,0,0,4,0,0,0,54,negative
Justin Timberlake,dance pop,2013,0,0,0,1,64,1,4,1,54,negative
Lady Gaga,dance pop,2013,1,1,1,1,11,0,3,1,52,positive
Ellie Goulding,dance pop,2013,0,1,1,1,14,1,43,0,52,negative
Enrique Iglesias,dance pop,2013,1,1,0,1,35,1,1,1,52,positive
Jonas Brothers,boy band,2013,1,1,1,1,28,0,7,1,52,positive
Mariah Carey,dance pop,2013,0,1,1,1,31,0,29,0,51,negative
Little Mix,dance pop,2013,1,1,0,1,37,0,9,1,50,negative
Kesha,dance pop,2013,1,1,1,1,13,1,4,0,46,negative
Britney Spears,dance pop,2013,1,0,1,1,11,1,2,1,45,positive
Kelly Clarkson,dance pop,2013,1,1,0,1,36,1,4,0,45,positive
Ciara,dance pop,2013,0,0,1,0,6,1,1,0,43,positive
Rihanna,barbadian pop,2013,1,1,0,0,24,0,0,0,42,negative
Robin Thicke,dance pop,2013,1,1,1,1,16,1,10,1,41,positive
Jewel,alaska indie,2013,1,0,0,0,12,1,23,0,36,negative
Pitbull,dance pop,2013,0,1,1,1,21,0,16,0,35,positive
Kelly Rowland,atl hip hop,2013,0,1,0,1,12,1,13,1,28,negative
John Legend,neo mellow,2014,1,0,0,0,13,1,92,0,86,negative
Sam Smith,pop,2014,0,0,0,0,11,0,59,0,85,negative
Calvin Harris,dance pop,2014,1,1,0,1,14,1,2,0,80,positive
Pharrell Williams,dance pop,2014,1,1,0,1,9,1,22,1,79,positive
MAGIC!,pop,2014,1,1,1,1,31,1,4,0,79,positive
Taylor Swift,pop,2014,1,1,0,1,33,0,6,1,78,positive
Katy Perry,dance pop,2014,1,0,0,0,17,0,0,1,78,negative
Avicii,big room,2014,1,1,0,1,8,1,3,0,78,negative
Maroon 5,pop,2014,1,0,1,0,6,0,2,0,78,positive
Bruno Mars,pop,2014,0,0,1,1,32,0,4,0,77,positive
Passenger,folk-pop,2014,0,0,0,0,10,1,39,1,77,negative
Ariana Grande,dance pop,2014,0,1,1,1,16,0,2,1,75,positive
Bastille,metropopolis,2014,1,0,1,0,27,0,8,0,73,positive
Lorde,art pop,2014,0,0,1,0,31,0,17,1,73,negative
John Newman,pop,2014,1,1,0,1,10,1,0,0,73,negative
Disclosure,house,2014,1,0,0,1,9,1,2,1,72,positive
Miley Cyrus,dance pop,2014,1,0,0,1,11,1,11,0,72,negative
Michael Jackson,pop,2014,0,0,1,0,7,1,13,0,71,positive
Ellie Goulding,dance pop,2014,0,1,0,1,11,1,31,0,71,negative
5 Seconds of Summer,boy band,2014,1,1,0,1,33,0,0,1,71,negative
Iggy Azalea,australian hip hop,2014,0,0,1,1,5,0,9,1,70,negative
Jason Derulo,dance pop,2014,0,0,1,0,31,0,3,1,68,positive
Bruno Mars,pop,2014,1,0,1,0,10,1,45,0,68,positive
Christina Perri,dance pop,2014,1,0,0,0,11,1,13,0,68,negative
Bruno Mars,pop,2014,1,1,0,1,21,1,46,0,67,negative
Jason Derulo,dance pop,2014,0,0,1,0,16,0,8,1,67,positive
OneRepublic,dance pop,2014,1,1,1,1,8,1,17,1,66,positive
Katy Perry,dance pop,2014,0,0,1,0,15,0,2,1,66,positive
Austin Mahone,dance pop,2014,1,1,1,1,27,1,0,0,65,positive
Fergie,dance pop,2014,1,0,1,0,9,1,1,1,65,positive
The Chainsmokers,electropop,2014,1,1,1,1,8,0,1,1,65,positive
Beyoncé,dance pop,2014,1,0,0,0,31,1,3,1,65,negative
Katy Perry,dance pop,2014,1,0,1,1,11,0,9,1,65,positive
Lady Gaga,dance pop,2014,0,1,0,1,12,1,1,0,65,positive
Zedd,complextro,2014,1,1,0,1,9,0,11,0,64,negative
Demi Lovato,dance pop,2014,1,0,0,0,27,1,3,0,63,negative
Birdy,neo mellow,2014,0,0,0,1,16,1,8,0,62,negative
Shakira,colombian pop,2014,1,1,1,1,14,0,12,1,62,positive
David Guetta,dance pop,2014,1,1,0,1,12,0,6,1,61,negative
